Year,Collocate,MI Score,Context,File,Directory,Context_Year,Frequency Filter
1734,there,6.11,"he does, how many curious Facts they will there find; and",rstl_1742_0007.txt,txt_rstl,1742.0,4.0
1734,there,6.11,"the © Truth of the Facts therein contained, as there is",rstl_1742_0004.txt,txt_rstl,1742.0,4.0
1734,there,6.11,"the © Truth of the Facts therein contained, as there is",rstl_1742_0005.txt,txt_rstl,1742.0,4.0
1734,there,6.11,"he does, how many curious Facts they will there find; and",rstl_1742_0005.txt,txt_rstl,1742.0,4.0
1740,i,3.43,only add one or wo Facts I ſhould 8g indeed have,rstl_1742_0049.txt,txt_rstl,1742.0,7.0
1740,i,3.43,"they had neyer been turned. Facts like theſe I have related,",rstl_1742_0005.txt,txt_rstl,1742.0,7.0
1740,i,3.43,You may depend on rhe Facts as near as I can,rstl_1744_0048.txt,txt_rstl,1744.0,7.0
1740,i,3.43,"to S 1749. communicate ſuch Facts as I know, 2 or",rstl_1749_0134.txt,txt_rstl,1749.0,7.0
1740,i,3.43,"to S 1749. communicate ſuch Facts as I know, 2 or",rstl_1749_0133.txt,txt_rstl,1749.0,7.0
1746,theſe,4.2,"into the Earth. | Theſe Facts being fo, if my '",rstl_1746_0119.txt,txt_rstl,1746.0,8.0
1746,theſe,4.2,"own opi- nions, Theſe are facts confider'd in themſelves in- dependently",rstl_1751_0066.txt,txt_rstl,1751.0,8.0
1746,theſe,4.2,with amazement on reading theſe facts : but my ſurprize was,rstl_1751_0013.txt,txt_rstl,1751.0,8.0
1746,theſe,4.2,"activity by evaporation. Theſe two facts plainly ſhew, how much precau-",rstl_1751_0013.txt,txt_rstl,1751.0,8.0
1746,theſe,4.2,"in the former, From theſe facts it is eaſy to draw",rstl_1755_0043.txt,txt_rstl,1755.0,8.0
1746,theſe,4.2,ever conſtant. Theſe were the facts ſtrongly atteſted by the com-,rstl_1755_0012.txt,txt_rstl,1755.0,8.0
